销售订单行号,产品编码,母件编码,子件编码,产生阶段,定额
2021050433-10,8000175451,8000175451,8000224420,外护子工序,38.841
2021050433-10,8000175451,8000175451,8000225974,外护子工序,7.211
2021050433-10,8000175451,8000175451,8002122492,外护子工序,7.297
2021050433-10,8000175451,8000175451,8000051921,外护子工序,1.021
2021050433-10,8000175451,8000051921,8000028445,成缆子工序,1
2021050433-10,8000175451,8000051921,8000239089,成缆子工序,0.218413
2021050433-10,8000175451,8000051921,8000028444,成缆子工序,1
2021050433-10,8000175451,8000051921,8000051643,成缆子工序,1
2021050433-10,8000175451,8000051921,8000275219,成缆子工序,0.218413
2021050433-10,8000175451,8000051921,8000222304,成缆子工序,12.524976
2021050433-10,8000175451,8000028445,8000001269,套塑子工序,1
2021050433-10,8000175451,8000028445,8000001317,套塑子工序,1
2021050433-10,8000175451,8000028445,8000283271,套塑子工序,0.065622
2021050433-10,8000175451,8000028445,8000001281,套塑子工序,1
2021050433-10,8000175451,8000028445,8000001293,套塑子工序,1
2021050433-10,8000175451,8000028445,8000225972,套塑子工序,0.565132
2021050433-10,8000175451,8000028445,8000001413,套塑子工序,1
2021050433-10,8000175451,8000028445,8000001305,套塑子工序,1
2021050433-10,8000175451,8000028445,8000224609,套塑子工序,1.863859
2021050433-10,8000175451,8000028444,8000224609,套塑子工序,1.863859
2021050433-10,8000175451,8000028444,8000001269,套塑子工序,1
2021050433-10,8000175451,8000028444,8000001317,套塑子工序,1
2021050433-10,8000175451,8000028444,8000001293,套塑子工序,1
2021050433-10,8000175451,8000028444,8000001281,套塑子工序,1
2021050433-10,8000175451,8000028444,8000225972,套塑子工序,0.565132
2021050433-10,8000175451,8000028444,8000001305,套塑子工序,1
2021050433-10,8000175451,8000028444,8000283270,套塑子工序,0.065622
2021050433-10,8000175451,8000028444,8000001413,套塑子工序,1
2021050433-10,8000175451,8000001269,8000000002,着色子工序,1
2021050433-10,8000175451,8000001317,8000000002,着色子工序,1
2021050433-10,8000175451,8000001281,8000000002,着色子工序,1
2021050433-10,8000175451,8000001293,8000000002,着色子工序,1
2021050433-10,8000175451,8000001413,8000000002,着色子工序,1
2021050433-10,8000175451,8000001305,8000000002,着色子工序,1
2021050433-20,8000175459,8000175459,8000225974,外护子工序,7.651
2021050433-20,8000175459,8000175459,8000051971,外护子工序,1.021
2021050433-20,8000175459,8000175459,8000224420,外护子工序,38.841
2021050433-20,8000175459,8000175459,8002122492,外护子工序,7.297
2021050433-20,8000175459,8000051971,8000275219,成缆子工序,0.220372
2021050433-20,8000175459,8000051971,8000239089,成缆子工序,0.220372
2021050433-20,8000175459,8000051971,8000028447,成缆子工序,1
2021050433-20,8000175459,8000051971,8000028444,成缆子工序,1
2021050433-20,8000175459,8000051971,8000028446,成缆子工序,1
2021050433-20,8000175459,8000051971,8000222304,成缆子工序,12.524976
2021050433-20,8000175459,8000051971,8000028445,成缆子工序,1
2021050433-20,8000175459,8000051971,8000051643,成缆子工序,1
2021050433-20,8000175459,8000028447,8000283273,套塑子工序,0.065622
2021050433-20,8000175459,8000028447,8000001281,套塑子工序,1
2021050433-20,8000175459,8000028447,8000001317,套塑子工序,1
2021050433-20,8000175459,8000028447,8000001413,套塑子工序,1
2021050433-20,8000175459,8000028447,8000224609,套塑子工序,1.863859
2021050433-20,8000175459,8000028447,8000001269,套塑子工序,1
2021050433-20,8000175459,8000028447,8000001305,套塑子工序,1
2021050433-20,8000175459,8000028447,8000225972,套塑子工序,0.565132
2021050433-20,8000175459,8000028447,8000001293,套塑子工序,1
2021050433-20,8000175459,8000028444,8000001413,套塑子工序,1
2021050433-20,8000175459,8000028444,8000001317,套塑子工序,1
2021050433-20,8000175459,8000028444,8000224609,套塑子工序,1.863859
2021050433-20,8000175459,8000028444,8000001281,套塑子工序,1
2021050433-20,8000175459,8000028444,8000283270,套塑子工序,0.065622
2021050433-20,8000175459,8000028444,8000001305,套塑子工序,1
2021050433-20,8000175459,8000028444,8000001293,套塑子工序,1
2021050433-20,8000175459,8000028444,8000001269,套塑子工序,1
2021050433-20,8000175459,8000028444,8000225972,套塑子工序,0.565132
2021050433-20,8000175459,8000028446,8000001269,套塑子工序,1
2021050433-20,8000175459,8000028446,8000001293,套塑子工序,1
2021050433-20,8000175459,8000028446,8000001281,套塑子工序,1
2021050433-20,8000175459,8000028446,8000001317,套塑子工序,1
2021050433-20,8000175459,8000028446,8000001305,套塑子工序,1
2021050433-20,8000175459,8000028446,8000001413,套塑子工序,1
2021050433-20,8000175459,8000028446,8000224609,套塑子工序,1.863859
2021050433-20,8000175459,8000028446,8000283272,套塑子工序,0.065622
2021050433-20,8000175459,8000028446,8000225972,套塑子工序,0.565132
2021050433-20,8000175459,8000028445,8000001293,套塑子工序,1
2021050433-20,8000175459,8000028445,8000225972,套塑子工序,0.565132
2021050433-20,8000175459,8000028445,8000001269,套塑子工序,1
2021050433-20,8000175459,8000028445,8000001281,套塑子工序,1
2021050433-20,8000175459,8000028445,8000001413,套塑子工序,1
2021050433-20,8000175459,8000028445,8000224609,套塑子工序,1.863859
2021050433-20,8000175459,8000028445,8000001317,套塑子工序,1
2021050433-20,8000175459,8000028445,8000001305,套塑子工序,1
2021050433-20,8000175459,8000028445,8000283271,套塑子工序,0.065622
2021050433-20,8000175459,8000001281,8000000002,着色子工序,1
2021050433-20,8000175459,8000001281,8000225738,着色子工序,0.005877
2021050433-20,8000175459,8000001317,8000225741,着色子工序,0.005877
2021050433-20,8000175459,8000001317,8000000002,着色子工序,1
2021050433-20,8000175459,8000001413,8000000002,着色子工序,1
2021050433-20,8000175459,8000001269,8000225737,着色子工序,0.005877
2021050433-20,8000175459,8000001269,8000000002,着色子工序,1
2021050433-20,8000175459,8000001305,8000000002,着色子工序,1
2021050433-20,8000175459,8000001305,8000225740,着色子工序,0.005877
2021050433-20,8000175459,8000001293,8000000002,着色子工序,1
2021050433-20,8000175459,8000001293,8000225739,着色子工序,0.005877
2021050433-30,8000175525,8000175525,8000225974,外护子工序,7.066
2021050433-30,8000175525,8000175525,8000223227,外护子工序,8.146
2021050433-30,8000175525,8000175525,8000224420,外护子工序,40.912
2021050433-30,8000175525,8000175525,8000052391,外护子工序,1.021
2021050433-30,8000175525,8000052391,8000275219,成缆子工序,0.228208
2021050433-30,8000175525,8000052391,8000051649,成缆子工序,1
2021050433-30,8000175525,8000052391,8000030244,成缆子工序,1
2021050433-30,8000175525,8000052391,8000030246,成缆子工序,1
2021050433-30,8000175525,8000052391,8000030245,成缆子工序,1
2021050433-30,8000175525,8000052391,8000030247,成缆子工序,1
2021050433-30,8000175525,8000052391,8000222309,成缆子工序,15.136141
2021050433-30,8000175525,8000052391,8000239089,成缆子工序,0.228208
2021050433-30,8000175525,8000030244,8000001365,套塑子工序,1
2021050433-30,8000175525,8000030244,8000224609,套塑子工序,2.17238
2021050433-30,8000175525,8000030244,8000001389,套塑子工序,1
2021050433-30,8000175525,8000030244,8000225972,套塑子工序,1.117532
2021050433-30,8000175525,8000030244,8000001269,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001305,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001341,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001293,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001377,套塑子工序,1
2021050433-30,8000175525,8000030244,8000283270,套塑子工序,0.076396
2021050433-30,8000175525,8000030244,8000001401,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001353,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001281,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001317,套塑子工序,1
2021050433-30,8000175525,8000030244,8000001413,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001401,套塑子工序,1
