销售订单行号,产品编码,母件编码,子件编码,产生阶段,定额,采购
2021050433-10,8000175451,8000175451,8000224420,外护子工序,38.841,是
2021050433-10,8000175451,8000175451,8000225974,外护子工序,7.211,是
2021050433-10,8000175451,8000175451,8002122492,外护子工序,7.297,是
2021050433-10,8000175451,8000175451,8000051921,外护子工序,1.021,8000051921
2021050433-10,8000175451,8000051921,8000028445,成缆子工序,1,8000028445
2021050433-10,8000175451,8000051921,8000239089,成缆子工序,0.218413,是
2021050433-10,8000175451,8000051921,8000028444,成缆子工序,1,8000028444
2021050433-10,8000175451,8000051921,8000051643,成缆子工序,1,是
2021050433-10,8000175451,8000051921,8000275219,成缆子工序,0.218413,是
2021050433-10,8000175451,8000051921,8000222304,成缆子工序,12.524976,是
2021050433-10,8000175451,8000028445,8000001269,套塑子工序,1,8000001269
2021050433-10,8000175451,8000028445,8000001317,套塑子工序,1,8000001317
2021050433-10,8000175451,8000028445,8000283271,套塑子工序,0.065622,是
2021050433-10,8000175451,8000028445,8000001281,套塑子工序,1,8000001281
2021050433-10,8000175451,8000028445,8000001293,套塑子工序,1,8000001293
2021050433-10,8000175451,8000028445,8000225972,套塑子工序,0.565132,是
2021050433-10,8000175451,8000028445,8000001413,套塑子工序,1,8000001413
2021050433-10,8000175451,8000028445,8000001305,套塑子工序,1,8000001305
2021050433-10,8000175451,8000028445,8000224609,套塑子工序,1.863859,是
2021050433-10,8000175451,8000028444,8000224609,套塑子工序,1.863859,是
2021050433-10,8000175451,8000028444,8000001269,套塑子工序,1,8000001269
2021050433-10,8000175451,8000028444,8000001317,套塑子工序,1,8000001317
2021050433-10,8000175451,8000028444,8000001293,套塑子工序,1,8000001293
2021050433-10,8000175451,8000028444,8000001281,套塑子工序,1,8000001281
2021050433-10,8000175451,8000028444,8000225972,套塑子工序,0.565132,是
2021050433-10,8000175451,8000028444,8000001305,套塑子工序,1,8000001305
2021050433-10,8000175451,8000028444,8000283270,套塑子工序,0.065622,是
2021050433-10,8000175451,8000028444,8000001413,套塑子工序,1,8000001413
2021050433-10,8000175451,8000001269,8000000002,着色子工序,1,是
2021050433-10,8000175451,8000001317,8000000002,着色子工序,1,是
2021050433-10,8000175451,8000001281,8000000002,着色子工序,1,是
2021050433-10,8000175451,8000001293,8000000002,着色子工序,1,是
2021050433-10,8000175451,8000001413,8000000002,着色子工序,1,是
2021050433-10,8000175451,8000001305,8000000002,着色子工序,1,是
2021050433-20,8000175459,8000175459,8000225974,外护子工序,7.651,是
2021050433-20,8000175459,8000175459,8000051971,外护子工序,1.021,8000051971
2021050433-20,8000175459,8000175459,8000224420,外护子工序,38.841,是
2021050433-20,8000175459,8000175459,8002122492,外护子工序,7.297,是
2021050433-20,8000175459,8000051971,8000275219,成缆子工序,0.220372,是
2021050433-20,8000175459,8000051971,8000239089,成缆子工序,0.220372,是
2021050433-20,8000175459,8000051971,8000028447,成缆子工序,1,8000028447
2021050433-20,8000175459,8000051971,8000028444,成缆子工序,1,8000028444
2021050433-20,8000175459,8000051971,8000028446,成缆子工序,1,8000028446
2021050433-20,8000175459,8000051971,8000222304,成缆子工序,12.524976,是
2021050433-20,8000175459,8000051971,8000028445,成缆子工序,1,8000028445
2021050433-20,8000175459,8000051971,8000051643,成缆子工序,1,是
2021050433-20,8000175459,8000028447,8000283273,套塑子工序,0.065622,是
