销售订单行号,产品编码,产品名称,母件编码,母件名称,子件编码,子件名称,子工序,子工序名称,数量,子件编码对应的属性
,8000203645,成品4,8000203645,成品4,8000224485,缆料,,,325.985,原材料
,8000203645,成品4,8000203645,成品4,8000232608,填充料,,,27.04,原材料
,8000203645,成品4,8000147753,钢丝,8000224420,缆料,,,97.1,原材料
,8000203645,成品4,8000147753,钢丝,8000225974,填充料,,,42.655,原材料
,8000203645,成品4,8000055182,缆芯,8000051658,绳,,,10.56784,原材料
,8000203645,成品4,8000055182,缆芯,8000223849,填充料,,,5.397,原材料
,8000203645,成品4,8000055182,缆芯,8000275219,"扎纱,淡紫",,,1.32098,原材料
,8000203645,成品4,8000055182,缆芯,8000239089,"扎纱,淡黄",,,1.32098,原材料
,8000203645,成品4,8000031597,套管，棕,8000224616,"色母料,棕",,,0.53896,原材料
,8000203645,成品4,8000031595,套管，橙,8000224614,"色母料,橙",,,0.53896,原材料
,8000203645,成品4,8000031594,套管，蓝,8000224613,"色母料,蓝",,,0.53896,原材料
,8000203645,成品4,8000031596,套管，绿,8000224615,"色母料,绿",,,0.53896,原材料
,8000203645,成品4,8000031597,套管，棕,8000225972,填充料,,,7.423908,原材料
,8000203645,成品4,8000031596,套管，绿,8000225972,填充料,,,7.423908,原材料
,8000203645,成品4,8000031595,套管，橙,8000225972,填充料,,,7.423908,原材料
,8000203645,成品4,8000031594,套管，蓝,8000225972,填充料,,,7.423908,原材料
,8000203645,成品4,8000031597,套管，棕,8000224609,常规料,,,15.46075,原材料
,8000203645,成品4,8000031596,套管，绿,8000224609,常规料,,,15.46075,原材料
,8000203645,成品4,8000031595,套管，橙,8000224609,常规料,,,15.46075,原材料
,8000203645,成品4,8000031594,套管，蓝,8000224609,常规料,,,15.46075,原材料
,8000203645,成品4,8000001317,光纤，灰,8000225741,"墨,灰",,,0.032592,原材料
,8000203645,成品4,8000001317,光纤，灰,8000225741,"墨,灰",,,0.032592,原材料
,8000203645,成品4,8000001317,光纤，灰,8000225741,"墨,灰",,,0.032592,原材料
,8000203645,成品4,8000001317,光纤，灰,8000225741,"墨,灰",,,0.032592,原材料
,8000203645,成品4,8000001305,光纤，棕,8000225740,"墨,棕",,,0.032592,原材料
,8000203645,成品4,8000001305,光纤，棕,8000225740,"墨,棕",,,0.032592,原材料
,8000203645,成品4,8000001305,光纤，棕,8000225740,"墨,棕",,,0.032592,原材料
,8000203645,成品4,8000001305,光纤，棕,8000225740,"墨,棕",,,0.032592,原材料
,8000203645,成品4,8000001281,光纤，橙,8000225738,"墨,橙",,,0.032592,原材料
,8000203645,成品4,8000001281,光纤，橙,8000225738,"墨,橙",,,0.032592,原材料
,8000203645,成品4,8000001281,光纤，橙,8000225738,"墨,橙",,,0.032592,原材料
,8000203645,成品4,8000001281,光纤，橙,8000225738,"墨,橙",,,0.032592,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000225737,"墨,蓝",,,0.032592,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000225737,"墨,蓝",,,0.032592,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000225737,"墨,蓝",,,0.032592,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000225737,"墨,蓝",,,0.032592,原材料
,8000203645,成品4,8000001293,光纤，绿,8000225739,"墨,绿",,,0.032592,原材料
,8000203645,成品4,8000001293,光纤，绿,8000225739,"墨,绿",,,0.032592,原材料
,8000203645,成品4,8000001293,光纤，绿,8000225739,"墨,绿",,,0.032592,原材料
,8000203645,成品4,8000001293,光纤，绿,8000225739,"墨,绿",,,0.032592,原材料
,8000203645,成品4,8000001413,光纤，本,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001413,光纤，本,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001413,光纤，本,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001413,光纤，本,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001317,光纤，灰,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001317,光纤，灰,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001317,光纤，灰,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001317,光纤，灰,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001305,光纤，棕,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001305,光纤，棕,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001305,光纤，棕,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001305,光纤，棕,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001293,光纤，绿,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001293,光纤，绿,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001293,光纤，绿,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001293,光纤，绿,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001281,光纤，橙,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001281,光纤，橙,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001281,光纤，橙,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001281,光纤，橙,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000000002,原纤,,,5.583963,原材料
,8000203645,成品4,8000001269,光纤，蓝,8000000002,原纤,,,5.583963,原材料
,8000269602,成品5,8000269602,成品5,8000281692,钢带,,,0.53544,原材料
,8000269602,成品5,8000269602,成品5,8000237152,填充料,,,1.7744,原材料
,8000269602,成品5,8000270558,钢丝,8000258325,铝带,,,0.18325,原材料
,8000269602,成品5,8000270558,钢丝,8000224420,缆料,,,0.44307,原材料
,8000269602,成品5,8000270558,钢丝,8000225974,填充料,,,0.16214,原材料
,8000269602,成品5,8000270355,缆芯,8000275219,"扎纱,淡紫",,,0.00196,原材料
,8000269602,成品5,8000270355,缆芯,8000239089,"扎纱,淡黄",,,0.003817,原材料
,8000269602,成品5,8000030251,套管，黑,8000224620,"色母料,黑",,,0.000822,原材料
,8000269602,成品5,8000030248,套管，灰,8000224617,"色母料,灰",,,0.000822,原材料
,8000269602,成品5,8000030247,套管，棕,8000224616,"色母料,棕",,,0.000822,原材料
,8000269602,成品5,8000270999,缆芯,8000225974,填充料,,,0.106159,原材料
,8000269602,成品5,8000030252,套管，黄,8000224621,"色母料,黄",,,0.010801,原材料
,8000269602,成品5,8000030244,套管，蓝,8000224613,"色母料,蓝",,,0.001643,原材料
,8000269602,成品5,8000030250,套管，红,8000224619,"色母料,红",,,0.000822,原材料
,8000269602,成品5,8000270999,缆芯,8000275219,"扎纱,淡紫",,,0.002009,原材料
,8000269602,成品5,8000270999,缆芯,8000239089,"扎纱,淡黄",,,0.000274,原材料
,8000269602,成品5,8000030252,套管，黄,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030251,套管，黑,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030250,套管，红,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030249,套管，白,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030248,套管，灰,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030247,套管，棕,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030246,套管，绿,8000225972,填充料,,,0.024128,原材料
,8000269602,成品5,8000030245,套管，橙,8000225972,填充料,,,0.024128,原材料
,8000269602,成品5,8000030244,套管，蓝,8000225972,填充料,,,0.024128,原材料
,8000269602,成品5,8000030255,套管，绿,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030254,套管，红,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030253,套管，紫,8000225972,填充料,,,0.012064,原材料
,8000269602,成品5,8000030252,套管，黄,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030251,套管，黑,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030250,套管，红,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030249,套管，白,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030248,套管，灰,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030247,套管，棕,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030246,套管，绿,8000224609,常规料,,,0.046909,原材料
,8000269602,成品5,8000030245,套管，橙,8000224609,常规料,,,0.046909,原材料
,8000269602,成品5,8000030244,套管，蓝,8000224609,常规料,,,0.046909,原材料
,8000269602,成品5,8000030255,套管，绿,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030254,套管，红,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000030253,套管，紫,8000224609,常规料,,,0.023455,原材料
,8000269602,成品5,8000051867,钢丝,8000222321,钢丝,,,45.691514,原材料
,8000269602,成品5,8000030251,套管，黑,8000224620,"色母料,黑",,,0.000841,原材料
,8000269602,成品5,8000030248,套管，灰,8000224617,"色母料,灰",,,0.000841,原材料
,8000269602,成品5,8000051867,钢丝,8000224419,缆料,,,8.914863,原材料
,8000269602,成品5,8000030247,套管，棕,8000224616,"色母料,棕",,,0.000841,原材料
,8000269602,成品5,8000030252,套管，黄,8000224621,"色母料,黄",,,0.011061,原材料
,8000269602,成品5,8000030244,套管，蓝,8000224613,"色母料,蓝",,,0.000841,原材料
,8000269602,成品5,8000030250,套管，红,8000224619,"色母料,红",,,0.000841,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.00013,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.00013,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.00013,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001401,光纤，青绿,8000225748,"墨,青绿",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.00013,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.00013,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.00013,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001389,光纤，粉红,8000225747,"墨,粉红",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.00013,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.00013,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.00013,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001353,光纤，黑,8000225744,"墨,黑",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.00013,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.00013,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.00013,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001317,光纤，灰,8000225741,"墨,灰",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.00013,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.00013,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.00013,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
,8000269602,成品5,8000001305,光纤，棕,8000225740,"墨,棕",,,0.000065,原材料
