销售订单号,物料编码,子工序编码,时间单位,时间,产量,连续生产类别编码,设备编号,工作中心编码,换线时间,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.28,"G01030201,,,,蓝,1.82,6,",SC05,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.45,"G01030201,,,,蓝,1.82,6,",SC04,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.42,"G01030201,,,,蓝,1.82,6,",SC16,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.32,"G01030201,,,,蓝,1.82,6,",SC11,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.5,"G01030201,,,,蓝,1.82,6,",SC08,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.4,"G01030201,,,,蓝,1.82,6,",SC03,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.3,"G01030201,,,,蓝,1.82,6,",SC18,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.4,"G01030201,,,,蓝,1.82,6,",SC17,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.2,"G01030201,,,,蓝,1.82,6,",SC15,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.32,"G01030201,,,,蓝,1.82,6,",SC10,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.3,"G01030201,,,,蓝,1.82,6,",SC09,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.28,"G01030201,,,,蓝,1.82,6,",SC06,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.45,"G01030201,,,,蓝,1.82,6,",SC07,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.4,"G01030201,,,,蓝,1.82,6,",SC02,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.4,"G01030201,,,,蓝,1.82,6,",SC19,A00203,30,,,,,,,,,,,
2021050425-10,8000283399,A0020301,分,1,0.3,"G01030201,,,,蓝,1.82,6,",SC01,A00203,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.06,"G01030301,充油,,1+5,1.82,钢丝",ST19,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.06,"G01030301,充油,,1+5,1.82,钢丝",ST18,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.06,"G01030301,充油,,1+5,1.82,钢丝",ST17,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.06,"G01030301,充油,,1+5,1.82,钢丝",ST16,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.06,"G01030301,充油,,1+5,1.82,钢丝",ST15,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.05,"G01030301,充油,,1+5,1.82,钢丝",ST13,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.05,"G01030301,充油,,1+5,1.82,钢丝",ST12,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.05,"G01030301,充油,,1+5,1.82,钢丝",ST11,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST10,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST09,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST08,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST07,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST06,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST05,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST04,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST03,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST02,A00204,30,,,,,,,,,,,
2021050425-10,8000283394,A0020401,分,1,0.08,"G01030301,充油,,1+5,1.82,钢丝",ST01,A00204,30,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,CS05,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,CS01,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,FL07,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,FL06,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,FL05,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,FL04,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,FL03,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,FL02,A00207,20,,,,,,,,,,,
2021050425-10,8000051643,A0020701,分,1,0.2,8000051643,FL01,A00207,20,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS24,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS23,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS22,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS21,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS20,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS19,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS18,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS17,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1,"G01020101,本",ZS16,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS15,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS13,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,0.8,"G01020101,本",ZS12,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS11,A00201,5,,,,,,,,,,,
